Unexplained	Promoter	Distal	gene	rank	pearson
0.380549682875264	99.6194503171247	0	Mrpl15	13290	-0.114755701079621
3.81103612544661	96.1889638745534	0	Lypla1	15326	0.207569383823102
1.3986013986014	95.3607368241515	3.24066177724714	Tcea1	11533	0.0281305194009618
2.57395313100269	49.8527340248431	47.5733128441542	Atp6v1h	8548	0.240734167459642
60.1315789473684	39.8684210526316	0	Npbwr1	16899	-0.0823143414679113
3.83319292333614	61.1345127773097	35.0322942993541	Rb1cc1	9239	0.0317440367446227
96.2135922330097	0	3.78640776699029	St18	11492	0.0177395179583959
59.8937583001328	35.7237715803453	4.38247011952191	Sntg1	11440	-0.142594198955732
1.00054824561404	98.999451754386	0	Rrs1	13842	0.218369334415425
4.17070805043647	0	95.8292919495635	Adhfe1	4512	0.585142880903058
5.75173889780631	0	94.2482611021937	2610203C22Rik	4968	0.409325271430781
4.87579077302885	95.1242092269711	0	Vcpip1	15591	-0.00694532106573879
0	0	100	Sgk3	1402	0.0903264240892099
2.02989771833202	97.970102281668	0	Snhg6	14599	0.0107319473240801
40.7970634504457	0	59.2029365495543	Tcf24	7904	0.17064192009956
0	100	0	Ppp1r42	12525	0.0824134335478467
3.2474804031355	62.060470324748	34.6920492721165	Cspp1	9264	0.140817643608943
1.39498432601881	98.6050156739812	0	Arfgef1	14146	-0.0262914561714549
1.56351791530945	0	98.4364820846906	Prex2	3182	0.569604017018369
28.957528957529	64.4401544401544	6.6023166023166	A830018L16Rik	11259	-0.267539404766242
0.299665080204477	99.7003349197955	0	Sulf1	13202	0.403077844751478
1.60479818447074	0	98.3952018155292	Slco5a1	3214	0.521511197477308
50.0854700854701	49.9145299145299	0	Prdm14	16830	-0.143350799640452
2.01012507444908	97.9898749255509	0	Ncoa2	14584	0.184706290329785
2.37888522312902	9.41135613821844	88.2097586386525	Tram1	5950	-0.119645165620943
1.54688569472964	27.2279260780287	71.2251882272416	Lactb2	7221	0.080805820676657
0.961812482188658	99.0381875178114	0	Xkr9	13813	0.153486405999756
0	0	100	Eya1	534	0.69045821788664
0	97.6740740740741	2.32592592592593	Msc	11607	0.486594631870527
5.97952536063285	0	94.0204746393672	Terf1	5025	-0.0243560216028617
17.412746585736	0	82.587253414264	Sbspon	6456	0.433487491786814
0	100	0	Rpl7	12615	0.0673109873482412
4.47868147617342	65.4424937298459	30.0788247939807	Rdh10	9573	0.255649649920107
6.3599132739099	1.8067935437244	91.8332931823657	Ube2w	5451	-0.240746913815684
3.21479374110953	96.7852062588905	0	Tceb1	15147	-0.0826090831155599
41.4708886618999	58.5291113381001	0	D030040B21Rik	16773	0.0336062664338547
5.54725438924169	94.4527456107583	0	Tmem70	15719	0.221970617480068
0	97.0727848101266	2.92721518987342	Ly96	11557	0.445553128498508
0.66262512336106	99.3373748766389	0	Jph1	13541	0.19415877562617
22.69548633185	58.8048315321043	18.4996821360458	Gdap1	10349	0.0118043655979403
2.92240175543587	97.0775982445641	0	Pi15	15032	0.227767749775354
0	0	100	Crispld1	362	0.62079634570304
2.46580620304373	0	97.5341937969563	Gm16070	3749	0.254623769497219
14.4020037570445	0	85.5979962429555	Il17a	6215	0.330040909742024
4.75485661424607	0	95.2451433857539	Il17f	4720	0.553286233742338
0	100	0	Mcm3	12331	0.0797305649485933
9.42916570372082	58.7705107464756	31.8003235498036	Efhc1	9461	0.325438274096954
2.78023729413848	0	97.2197627058615	Tram2	3920	-0.152820544542914
11.0821382007823	2.2490221642764	86.6688396349413	Tmem14a	6102	0.212104850903279
8.9527027027027	48.8416988416988	42.2055984555985	Gsta3	8856	-0.00626714411070568
0	0	100	Khdc1a	842	0.257080399129206
0.419023674837628	39.8701026608003	59.710873664362	Kcnq5	7874	0.509602286910799
5.98698481561822	0	94.0130151843818	Ogfrl1	5027	0.157272387136456
4.57498646453709	56.2263129399025	39.1987005955604	B3gat2	9014	-0.0888074737080434
1.00755667506297	98.992443324937	0	Smap1	13845	-0.294928327569545
1.10146429959829	98.8985357004017	0	Sdhaf4	13915	-0.0235400787994488
6.46419615491781	73.9760378935637	19.5597659515185	Fam135a	10271	0.57914187694545
13.7537993920973	10.1063829787234	76.1398176291793	Col19a1	6899	0.435430126525991
0	0	100	Lmbrd1	908	-0.428179530110697
1.7064280980782	0	98.2935719019218	Ptp4a1	3288	-0.0648505700075236
100	0	0	Khdrbs2	17347	-0.0262399380905997
53.1886916502301	0	46.8113083497699	1700001G17Rik	8601	0.218289932234412
1.64690382081686	98.3530961791831	0	Rab23	14355	0.277276361198672
2.32558139534884	97.6744186046512	0	Bag2	14744	0.469636292115902
9.42819729375818	26.3203841117416	64.2514185945002	Zfp451	7616	0.168164525788573
7.78105056455572	0	92.2189494354443	Bend6	5399	0.237451029622572
0.645161290322581	48.415770609319	50.9390681003584	Dst	8376	0.18399850491835
0	85.9815593948617	14.0184406051383	Imp4	10660	-0.0121300506937114
0	17.3229768786127	82.6770231213873	Ptpn18	6446	0.343463666992392
72.6226993865031	27.3773006134969	0	Amer3	16967	-0.20222703895586
0	0	100	Arhgef4	142	0.377383907188042
1.60543377585675	0	98.3945662241432	Fam168b	3215	0.0922933119912427
0	54.1152949016994	45.8847050983006	Plekhb2	8646	-0.113031268823462
5.32786885245901	0	94.672131147541	Hs6st1	4879	-0.0440093254636877
0.924520491237754	15.2476886987719	83.8277908099903	Uggt1	6353	-0.184130111795756
0	0	100	Neurl3	1042	0.670907800782434
2.57917693912384	40.5082495732979	56.9125734875782	Arid5a	8052	0.349054359366829
