Unexplained	Promoter	Distal	gene	rank
7.73370789639881e-06	7.73370789639881e-06	99.9999845325842	Hamp	1
7.91728959571319e-06	7.91728959571319e-06	99.9999841654208	Hpca	2
8.07664966679984e-06	8.07664966679984e-06	99.9999838467007	E430016F16Rik	3
8.12335866015142e-06	8.12335866015142e-06	99.9999837532827	Hs3st2	4
8.16695536990015e-06	8.16695536990015e-06	99.9999836660892	1700061F12Rik	5
8.25471385641138e-06	8.25471385641138e-06	99.9999834905723	Dact2	6
8.31123258845601e-06	8.31123258845601e-06	99.9999833775348	Itgb8	7
8.570271633731e-06	8.570271633731e-06	99.9999828594567	Gm29684	8
8.60720446597542e-06	8.60720446597542e-06	99.9999827855911	Slc38a5	9
8.61169963466414e-06	8.61169963466414e-06	99.9999827766007	Paqr9	10
8.70783124957979e-06	8.70783124957979e-06	99.9999825843375	Abhd11os	11
8.88923394919694e-06	8.88923394919694e-06	99.9999822215321	Piezo1	12
8.91339359054802e-06	8.91339359054802e-06	99.9999821732128	Hoxc4	13
8.91707842911111e-06	8.91707842911111e-06	99.9999821658431	Klk1b27	14
8.93273224739834e-06	8.93273224739834e-06	99.9999821345355	Plagl1	15
8.95421061143263e-06	8.95421061143263e-06	99.9999820915788	Aqp7	16
9.01908796168576e-06	9.01908796168576e-06	99.9999819618241	Tnnt2	17
9.06632122773946e-06	9.06632122773946e-06	99.9999818673575	Atg13	18
9.11124090782436e-06	9.11124090782436e-06	99.9999817775182	Stmnd1	19
9.16116296823036e-06	9.16116296823036e-06	99.9999816776741	Slc9b2	20
9.30326759132774e-06	9.30326759132774e-06	99.9999813934648	Rbp4	21
9.36064106912e-06	9.36064106912e-06	99.9999812787179	Mybpc1	22
9.37801154326311e-06	9.37801154326311e-06	99.9999812439769	Ces2f	23
9.41169738456459e-06	9.41169738456459e-06	99.9999811766052	Tph1	24
9.47667920026986e-06	9.47667920026986e-06	99.9999810466416	Vsig2	25
9.50599808992178e-06	9.50599808992178e-06	99.9999809880038	Tnfrsf8	26
9.54435971195199e-06	9.54435971195199e-06	99.9999809112806	Tgif1	27
9.55376777385345e-06	9.55376777385345e-06	99.9999808924644	Hamp2	28
9.55748071039951e-06	9.55748071039951e-06	99.9999808850386	Gm10406	29
9.62203297757438e-06	9.62203297757438e-06	99.999980755934	4833411C07Rik	30
9.6220773252842e-06	9.6220773252842e-06	99.9999807558453	Gm595	31
9.7272791914919e-06	9.7272791914919e-06	99.9999805454416	Arl6ip1	32
9.73272023165276e-06	9.73272023165276e-06	99.9999805345595	Lrrc52	33
9.85918393779612e-06	9.85918393779612e-06	99.9999802816321	Slc47a1	34
9.91164246501279e-06	9.91164246501279e-06	99.9999801767151	Sptssb	35
9.96190190160554e-06	9.96190190160554e-06	99.9999800761962	Hsph1	36
9.97456476011605e-06	9.97456476011605e-06	99.9999800508705	Rilpl2	37
9.9983023882375e-06	9.9983023882375e-06	99.9999800033952	Foxp3	38
1.00617484471326e-05	1.00617484471326e-05	99.9999798765031	Tldc2	39
1.00755177181354e-05	1.00755177181354e-05	99.9999798489646	Upk3bl	40
1.01042191601902e-05	1.01042191601902e-05	99.9999797915617	Adam3	41
1.01267271804102e-05	1.01267271804102e-05	99.9999797465456	Serpina1d	42
1.01521480087343e-05	1.01521480087343e-05	99.999979695704	Vpreb2	43
1.01554976283714e-05	1.01554976283714e-05	99.9999796890047	Slc25a11	44
1.01680690298005e-05	1.01680690298005e-05	99.9999796638619	Pgam1	45
1.01855100180755e-05	1.01855100180755e-05	99.99997962898	Grm8	46
1.02034665093864e-05	1.02034665093864e-05	99.999979593067	Necab2	47
1.02672905305118e-05	1.02672905305118e-05	99.9999794654189	Fam183b	48
1.03096936079683e-05	1.03096936079683e-05	99.9999793806128	Dio3os	49
1.0315014668415e-05	1.0315014668415e-05	99.9999793699707	Ppp1r14a	50
1.0364240022201e-05	1.0364240022201e-05	99.99997927152	Zmiz1	51
1.04280434448141e-05	1.04280434448141e-05	99.9999791439131	St3gal1	52
1.04350025966982e-05	1.04350025966982e-05	99.9999791299948	Scp2	53
1.04807623144739e-05	1.04807623144739e-05	99.9999790384754	Upk1b	54
1.05004658531676e-05	1.05004658531676e-05	99.9999789990683	6330408A02Rik	55
1.05351445733149e-05	1.05351445733149e-05	99.9999789297108	Actb	56
1.05546228435349e-05	1.05546228435349e-05	99.9999788907543	Crem	57
1.05564533525897e-05	1.05564533525897e-05	99.9999788870933	Ccdc162	58
1.05599957286929e-05	1.05599957286929e-05	99.9999788800085	Kcna5	59
1.0562293183698e-05	1.0562293183698e-05	99.9999788754136	Rnf5	60
1.05811959978742e-05	1.05811959978742e-05	99.999978837608	Dusp13	61
1.05963352574512e-05	1.05963352574512e-05	99.9999788073295	Sec61a1	62
1.05966987277911e-05	1.05966987277911e-05	99.9999788066025	Cd1d1	63
1.06162802717526e-05	1.06162802717526e-05	99.9999787674395	Fbxl13	64
1.0649614106973e-05	1.0649614106973e-05	99.9999787007718	Tbc1d17	65
1.06750287155604e-05	1.06750287155604e-05	99.9999786499426	Pcolce2	66
1.06857193898245e-05	1.06857193898245e-05	99.9999786285612	Gm829	67
1.07027667850849e-05	1.07027667850849e-05	99.9999785944664	Gm4763	68
1.07052999531375e-05	1.07052999531375e-05	99.9999785894001	Eno3	69
1.07190886699415e-05	1.07190886699415e-05	99.9999785618227	Pcdhb22	70
1.07214580634028e-05	1.07214580634028e-05	99.9999785570839	Sgsh	71
